Bank Name ,City ,State ,Cert ,Acquiring Institution ,Closing Date ,Fund
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,10269
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,10270
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,23-Jul-10,10265
Sterling Bank,Lantana,FL,32536,IBERIABANK,23-Jul-10,10268
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,16-Jul-10,10258
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,10260
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,10261
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,16-Jul-10,10259
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,10263
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,10262
Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,10256
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,10254
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,10257
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,10255
High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,10252
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,10251
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,10253
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,10250
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,10249
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,10248
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,10246
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,10247
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,10245
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,10244
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,10243
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,10242
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,10241
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,10240
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,10236
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,10239
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,10237
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,10238
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,10232
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,10235
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,10233
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,10234
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,10228
BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,10225
Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,10227
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,10226
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,10231
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,10230
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,10229
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,10224
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,10223
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,10221
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,10222
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,10220
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,10219
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,10218
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,10212
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,10217
Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,10214
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,10211
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,10216
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,10210
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,10213
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,10215
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,10209
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,10205
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,10208
Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,10206
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,10207
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,10203
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,10204
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,10202
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,10199
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,10200
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,10198
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,10201
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,10196
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,10197
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,10195
LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,10194
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,10193
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,10190
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,10191
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,10192
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,10189
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,10188
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,10185
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,10184
The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,10186
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,19-Feb-10,10187
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,10183
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,10178
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,10177
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,10180
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,29-Jan-10,10182
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,10181
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,29-Jan-10,10179
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,10176
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,10172
Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,10175
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,10174
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,10173
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,10171
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,10169
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,10170
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,8-Jan-10,10168
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,10167
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,18-Dec-09,10161
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),18-Dec-09,10166
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,18-Dec-09,10163
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,10162
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,10165
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,10164
SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,10160
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,10159
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,10158
Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,10156
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,10154
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,10155
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,10153
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,10157
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,10152
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,10151
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,10150
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,10149
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,10148
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,10147
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,10146
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,10143
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,10144
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,10145
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,30-Oct-09,10138
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,30-Oct-09,10142
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,10141
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,10140
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,10139
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,10134
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,10135
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,10137
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,10136
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,10128
Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,10133
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,10132
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,10129
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,23-Oct-09,10131
American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,10127
Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,10130
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,10126
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2-Oct-09,10123
Jennings State Bank,Spring Grove,MN,11416,Central Bank,2-Oct-09,10124
Warren Bank,Warren,MI,34824,The Huntington National Bank,2-Oct-09,10125
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",25-Sep-09,10122
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",18-Sep-09,10121
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",18-Sep-09,10120
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,11-Sep-09,10119
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,11-Sep-09,10118
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",11-Sep-09,10117
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,4-Sep-09,10114
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,10115
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,4-Sep-09,10116
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",4-Sep-09,10113
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,4-Sep-09,10112
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,10110
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,28-Aug-09,10111
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),28-Aug-09,10109
Guaranty Bank,Austin,TX,32618,BBVA Compass,21-Aug-09,10105
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,21-Aug-09,10106
First Coweta Bank,Newnan,GA,57702,United Bank,21-Aug-09,10108
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",21-Aug-09,10107
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,10100
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,14-Aug-09,10101
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,14-Aug-09,10102
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",14-Aug-09,10103
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",14-Aug-09,10104
Community First Bank,Prineville,OR,23268,Home Federal Bank,7-Aug-09,10092
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",7-Aug-09,10099
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",7-Aug-09,10098
Mutual Bank,Harvey,IL,18659,United Central Bank,31-Jul-09,10094
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,31-Jul-09,10097
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",31-Jul-09,10096
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,31-Jul-09,10095
First State Bank of Altus,Altus,OK,9873,Herring Bank,31-Jul-09,10093
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,24-Jul-09,10088
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,24-Jul-09,10087
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,24-Jul-09,10085
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,24-Jul-09,10090
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,24-Jul-09,10089
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,24-Jul-09,10086
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",24-Jul-09,10091
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,10082
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,10083
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",17-Jul-09,10081
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,17-Jul-09,10084
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,10-Jul-09,10080
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2-Jul-09,10074
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2-Jul-09,10079
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2-Jul-09,10078
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2-Jul-09,10073
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2-Jul-09,10075
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2-Jul-09,10077
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2-Jul-09,10076
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,26-Jun-09,10072
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,26-Jun-09,10071
Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",26-Jun-09,10070
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,26-Jun-09,10069
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,10068
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,19-Jun-09,10066
Cooperative Bank,Wilmington,NC,27837,First Bank,19-Jun-09,10065
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,19-Jun-09,10067
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,5-Jun-09,10064
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,22-May-09,10063
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,22-May-09,10062
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,21-May-09,10061
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,8-May-09,10060
America West Bank,Layton,UT,35461,Cache Valley Bank,1-May-09,10057
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,1-May-09,10058
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,10059
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",24-Apr-09,10055
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,10054
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,24-Apr-09,10056
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,24-Apr-09,10053
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,17-Apr-09,10051
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,17-Apr-09,10052
New Frontier Bank,Greeley,CO,34881,No Acquirer,10-Apr-09,10050
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,10-Apr-09,10049
Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,10048
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,10046
Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,20-Mar-09,10045
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,10047
Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,6-Mar-09,10044
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,10043
Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",27-Feb-09,10042
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,10041
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,10040
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,13-Feb-09,10037
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,10038
Sherman County Bank,Loup City,NE,5431,Heritage Bank,13-Feb-09,10039
County Bank,Merced,CA,22574,Westamerica Bank,6-Feb-09,10034
Alliance Bank,Culver City,CA,23124,California Bank & Trust,6-Feb-09,10035
FirstBank Financial Services,McDonough,GA,57017,Regions Bank,6-Feb-09,10036
Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.",30-Jan-09,10032
Suburban FSB,Crofton,MD,30763,Bank of Essex,30-Jan-09,10033
MagnetBank,Salt Lake City,UT,58001,No Acquirer,30-Jan-09,10031
1st Centennial Bank,Redlands,CA,33025,First California Bank,23-Jan-09,10030
Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,16-Jan-09,10029
National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,16-Jan-09,10028
Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,12-Dec-08,10026
Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)",12-Dec-08,10027
First Georgia Community Bank,Jackson,GA,34301,United Bank,5-Dec-08,10025
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,10024
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",21-Nov-08,10023
Community Bank,Loganville,GA,16490,Bank of Essex,21-Nov-08,10022
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,10020
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,7-Nov-08,10021
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,31-Oct-08,10019
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",24-Oct-08,10018
Meridian Bank,Eldred,IL,13789,National Bank,10-Oct-08,10017
Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,10-Oct-08,10016
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,25-Sep-08,10015
Ameribank,Northfork,WV,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",19-Sep-08,10014
Silver State Bank,Henderson,NV,34194,Nevada State Bank,5-Sep-08,10013
Integrity Bank,Alpharetta,GA,35469,Regions Bank,29-Aug-08,10012
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,22-Aug-08,10011
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,1-Aug-08,10010
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,25-Jul-08,10009
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,25-Jul-08,10008
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",11-Jul-08,10007
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,30-May-08,10006
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,9-May-08,10005
Hume Bank,Hume,MO,1971,Security Bank,7-Mar-08,10004
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,25-Jan-08,10003
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,4-Oct-07,10002
NetBank,Alpharetta,GA,32575,ING DIRECT,28-Sep-07,10001
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2-Feb-07,10000
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,25-Jun-04,4665
Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,4664
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,12-Mar-04,4663
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,6006
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,4662
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,9-May-03,4661
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,4660
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,17-Dec-02,4659
Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,4658
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,4657
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,6005
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,26-Jun-02,4656
New Century Bank,Shelby Township,MI,34979,No Acquirer,28-Mar-02,4655
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,1-Mar-02,4654
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,7-Feb-02,4653
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,1-Feb-02,4652
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,18-Jan-02,4651
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,11-Jan-02,4650
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,4649
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,6004
Malta National Bank,Malta,OH,6629,North Valley Bank,3-May-01,4648
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2-Feb-01,4647
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,14-Dec-00,4646
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,13-Oct-00,4645
